author,account_category,tweets
BIAANCLEESS,RightTroll,152
EMILLLYSTRU,RightTroll,152
ZZARACROSS,Fearmonger,151
ROYPRESTON1ST,HashtagGamer,150
PRUITT_LI,Fearmonger,150
ADDIE_HOL,RightTroll,149
KENDRAGRRR,RightTroll,149
MACNEILLTONI,RightTroll,146
CATHERINECALLS,RightTroll,146
FRANCESCAVAND,Fearmonger,145
GAB_ARTEA_G,Fearmonger,145
STINSON_SS,RightTroll,145
NICCOLOBRILLA,RightTroll,145
SHERLYMONMONC,RightTroll,145
LNEVER_MINDL,Fearmonger,145
STACEWATERS_,Unknown,145
REALTEN_GOP,RightTroll,144
BR_MC_NEIL,Unknown,144
HATTIEB78,RightTroll,144
JSHMRTNEZ,Fearmonger,144
ERTMANGRETA,RightTroll,142
LACHLAN_FARLEY,HashtagGamer,142
MOM_0F_TWINS,RightTroll,141
666STEVEROGERS,Unknown,139
ALTMANBELINDA,RightTroll,139
DAUMOA,LeftTroll,136
ROCKTHEMICRO,HashtagGamer,136
RAPEDBYCOSBY,HashtagGamer,136
NASIMMALIK993,LeftTroll,135
PRETTYSASHAH,RightTroll,134
FAIRYMINKY,Fearmonger,134
MALLBOWEN,RightTroll,134
ALVA_MC_GHEE,Unknown,133
BECCYWILL,RightTroll,132
CALIFRONIAREP,LeftTroll,132
SHEENA_OTT,RightTroll,130
SCARLETTHOWAR15,RightTroll,129
NORMAN_HOOPER,Fearmonger,129
JMCD0WELL,RightTroll,129
EMMA_FSSXX,RightTroll,129
HAWORYMYHAK,Fearmonger,128
ADELE_BROCK,RightTroll,126
JAMIESAMY,RightTroll,126
LUCASSTARBRAND,HashtagGamer,125
ANN1EMCCONNELL,RightTroll,125
MARLEY_SHN,Fearmonger,124
DEBRA_STERN_,RightTroll,124
OLIVIA1GB,RightTroll,123
KARMAISABITCHH1,RightTroll,123
DEBBSFARRELL,RightTroll,123
KIMBERLEIGHLAMB,HashtagGamer,123
VIRGILSSMITH,RightTroll,122
HARRYTHEFATHER,RightTroll,122
TERESA_BOY_LE,Fearmonger,122
CHANEUTRAL,RightTroll,122
LUCEELYSTOP,Unknown,121
MARGARETMOAR,RightTroll,120
SWEETKERRY54,Fearmonger,120
ROBIN_MC_CALL,Fearmonger,120
ARONHOLDEN8,HashtagGamer,120
MBROWNHERE,LeftTroll,119
TYLERBOYERR,RightTroll,119
DIAMONDSL0VEME,Fearmonger,119
MONMONICA23,HashtagGamer,119
BLACKTIVISTSUS,LeftTroll,117
BISHOLORINE,RightTroll,117
MARTINES_TWEETS,Fearmonger,117
LIANGBERTIE,LeftTroll,116
DD_MERR,Fearmonger,116
HASHTAGMEMOM,HashtagGamer,116
MELLYBARTON,RightTroll,115
RAYEWHALEN,RightTroll,115
GL_WORKMAN,Unknown,115
SOLANO_KI,Fearmonger,114
WILLIETHELION,RightTroll,114
ANGELITHSS,RightTroll,113
GRAYS0NWILDE,Fearmonger,110
PATRICIADRYS,RightTroll,110
MRMUSTACHEE,RightTroll,109
RICHRIC_RICHARD,HashtagGamer,108
BEN_SAR_GENT,RightTroll,108
ASSUNCAOWALLAS,LeftTroll,108
EAZON_TRAP,Fearmonger,107
LOREENPAOLERA,RightTroll,107
VANESSA_A_LOTT,RightTroll,107
AN_N_GASTON,RightTroll,107
SHIELDSCLINT,RightTroll,106
BLACK_ELEVATION,LeftTroll,106
DONATELLOJACK,RightTroll,105
BERT_HENLEY,Unknown,105
JORDANSHELTONW,HashtagGamer,105
MEMYSELFHAILEY,Unknown,105
JAWORSKIKATRINA,RightTroll,104
DJKATKATKATIE,RightTroll,104
BLACKERTHEBERR5,LeftTroll,104
MEGGIEMCKENZIE,HashtagGamer,104
ARTHCLAUDIA,Fearmonger,103
PORTER_2TYPE,RightTroll,103
JJ_WALSHJ,Fearmonger,102
KELVSOK,RightTroll,101
ALBERTA_HAYNESS,RightTroll,101
ELEVEN_GOP,RightTroll,101
ITSREALROBERT,Fearmonger,100
ROBERTHUGHESS,LeftTroll,100
ADRIANAMFTTT,RightTroll,99
GUIDILILLIE,RightTroll,99
LOLAPYKE,RightTroll,99
CRYSTAL_JOHNS0N,LeftTroll,99
COMEANDGETITAAW,Unknown,98
ZOLLIELEMON,RightTroll,97
ROSSHELLYEAH,RightTroll,97
JACKKRASSEN,LeftTroll,96
ITSMONAMUUA,Fearmonger,96
STEPSTEP_HEN,RightTroll,96
BENJAMINBALLL,Fearmonger,96
CHEESE_MONAY,RightTroll,95
STOPBRUTAL,LeftTroll,95
J_CL_K,Unknown,95
SHANNYZZZZ,Fearmonger,95
POWER_4LIFE,RightTroll,93
ANTHONYWOODBOY,RightTroll,93
ARIELSHINING,RightTroll,93
SHANNONGIBSONIM,Fearmonger,93
POLIT_OBSERVER,NewsFeed,93
ALMOSTSAINTGIRL,RightTroll,93
VICKYLOVELYG,RightTroll,93
TONYLYNNNNN,RightTroll,92
