,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
909,1/31/2017,Two Lovers and a Bear,6840000,0,22273
910,9/17/2010,Incendies,6800000,6857096,16038343
911,8/11/2000,AimÃ©e & Jaguar,6800000,927107,927107
912,8/5/2005,The Chumscrubber,6800000,49526,49526
913,4/9/2004,Shade,6800000,25032,9533964
914,9/10/2010,Bran Nue Dae,6750000,113568,6812530
915,9/3/2004,"Remember Me, My Love",6700000,223878,223878
916,5/21/2010,Perrierâs Bounty,6600000,828,828
917,9/19/2008,Tropa de Elite,6537890,8744,14319195
918,10/3/2014,Annabelle,6500000,84273813,256862920
919,2/1/2008,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65281781,70712099
920,7/12/1991,Boyz n the Hood,6500000,56190094,56200634
921,7/24/1987,La Bamba,6500000,54215416,54215416
922,5/22/1981,The Four Seasons,6500000,42488161,42488161
923,1/1/1980,Dressed to Kill,6500000,31899000,31899000
924,4/2/1993,The Adventures of Huck Finn,6500000,24103594,24103594
925,4/9/1999,Go!,6500000,16875273,28383441
926,4/7/2006,Friends with Money,6500000,13368437,18110152
927,1/1/1971,The Andromeda Strain,6500000,12376563,12376563
928,10/22/1999,Bats,6500000,10155691,10155691
929,3/7/2003,Nowhere in Africa,6500000,6173485,6173485
930,12/2/2011,Shame,6500000,4002293,20412841
931,5/13/2005,Layer Cake,6500000,2339957,11745931
932,5/31/2013,The East,6500000,2274649,3027956
933,10/21/2005,The Work and the Glory: American Zion,6500000,2025032,2025032
934,11/13/2009,The Messenger,6500000,1109660,1744952
935,7/23/2004,A Home at the End of the World,6500000,1029017,1033810
936,8/17/2001,Aberdeen,6500000,64148,64148
937,12/31/2011,Tracker,6500000,0,3149
938,10/26/1984,The Terminator,6400000,38019031,78019031
939,2/27/2004,"Good Bye, Lenin!",6400000,4063859,79384539
940,10/10/2007,Control,6400000,871577,8902141
941,10/9/2009,The Damned United,6400000,449865,4199874
942,2/22/2008,Die FÃ¤lscher,6250000,5488570,20199663
943,1/15/1988,Return of the Living Dead Part II,6200000,9205924,9205924
944,2/13/2009,Gomorra,6200000,1579146,37339594
945,10/20/1995,Mallrats,6100000,2108367,2108367
946,6/16/1978,Grease,6000000,181813770,387513770
947,12/19/1986,Platoon,6000000,137963328,137963328
948,6/23/2004,Fahrenheit 9/11,6000000,119114517,221148959
949,10/24/1969,Butch Cassidy and the Sundance Kid,6000000,102308900,102308900
950,8/26/1964,Mary Poppins,6000000,102300000,102300000
951,9/19/1980,Ordinary People,6000000,52302978,52302978
952,5/11/2018,Breaking In,6000000,46383120,49984637
953,10/18/1961,West Side Story,6000000,43700000,43700000
954,10/17/1956,Around the World in 80 Days,6000000,42000000,42000000
955,7/25/1980,Caddyshack,6000000,39846344,39846344
956,3/23/2001,The Brothers,6000000,27457409,27958191
957,12/17/2008,The Wrestler,6000000,26238243,46634275
958,6/30/1989,Do the Right Thing,6000000,26004026,26004026
959,7/10/1981,Escape from New York,6000000,25244700,25244700
